date,year,month,district,latitude,longitude,rainfall_mm,temperature_mean_c,temperature_max_c,temperature_min_c
2010-01-01,2010,1,Adjumani,3.38,31.78,0.28,29.79,40.91,19.17
2010-02-01,2010,2,Adjumani,3.38,31.78,0.96,29.56,41.42,21.61
2010-03-01,2010,3,Adjumani,3.38,31.78,0.99,29.76,40.66,19.89
2010-04-01,2010,4,Adjumani,3.38,31.78,1.51,29.34,40.07,22.16
2010-05-01,2010,5,Adjumani,3.38,31.78,6.65,25.57,33.83,20.15
2010-06-01,2010,6,Adjumani,3.38,31.78,3.86,25.28,33.72,19.3
2010-07-01,2010,7,Adjumani,3.38,31.78,3.06,24.55,32.64,17.98
2010-08-01,2010,8,Adjumani,3.38,31.78,2.74,25.11,33.82,18.43
2010-09-01,2010,9,Adjumani,3.38,31.78,3.32,25.41,34.47,18.14
2010-10-01,2010,10,Adjumani,3.38,31.78,3.69,26.25,36.34,19.48
2010-11-01,2010,11,Adjumani,3.38,31.78,2.99,27.63,36.31,20.0
2010-12-01,2010,12,Adjumani,3.38,31.78,0.25,28.09,37.53,17.72
2011-01-01,2011,1,Adjumani,3.38,31.78,0.05,29.89,40.07,20.9
2011-02-01,2011,2,Adjumani,3.38,31.78,0.14,30.24,41.66,18.86
2011-03-01,2011,3,Adjumani,3.38,31.78,1.82,29.44,40.91,21.15
2011-04-01,2011,4,Adjumani,3.38,31.78,0.64,29.44,40.26,21.52
2011-05-01,2011,5,Adjumani,3.38,31.78,5.16,26.64,38.02,19.19
2011-06-01,2011,6,Adjumani,3.38,31.78,2.94,25.02,34.07,18.87
2011-07-01,2011,7,Adjumani,3.38,31.78,2.3,25.78,35.17,19.03
2011-08-01,2011,8,Adjumani,3.38,31.78,7.31,24.04,32.84,17.47
2011-09-01,2011,9,Adjumani,3.38,31.78,5.31,23.62,31.21,18.14
2011-10-01,2011,10,Adjumani,3.38,31.78,5.02,24.48,32.33,18.74
2011-11-01,2011,11,Adjumani,3.38,31.78,5.49,24.13,31.18,17.32
2011-12-01,2011,12,Adjumani,3.38,31.78,0.39,27.12,37.25,16.08
2012-01-01,2012,1,Adjumani,3.38,31.78,0.0,28.47,40.17,17.39
2012-02-01,2012,2,Adjumani,3.38,31.78,0.03,30.14,40.9,18.6
2012-03-01,2012,3,Adjumani,3.38,31.78,0.2,30.91,41.84,20.23
2012-04-01,2012,4,Adjumani,3.38,31.78,3.41,27.44,37.93,19.9
2012-05-01,2012,5,Adjumani,3.38,31.78,3.65,25.56,34.33,18.98
2012-06-01,2012,6,Adjumani,3.38,31.78,2.48,25.12,34.23,17.97
2012-07-01,2012,7,Adjumani,3.38,31.78,5.83,23.21,29.47,17.44
2012-08-01,2012,8,Adjumani,3.38,31.78,5.92,23.1,29.54,17.97
2012-09-01,2012,9,Adjumani,3.38,31.78,8.45,23.32,30.28,18.19
2012-10-01,2012,10,Adjumani,3.38,31.78,6.88,24.48,31.78,18.76
2012-11-01,2012,11,Adjumani,3.38,31.78,2.83,24.05,31.45,18.89
2012-12-01,2012,12,Adjumani,3.38,31.78,2.33,25.14,33.57,17.57
2013-01-01,2013,1,Adjumani,3.38,31.78,0.2,28.11,38.58,18.54
2013-02-01,2013,2,Adjumani,3.38,31.78,0.24,29.9,41.45,18.48
2013-03-01,2013,3,Adjumani,3.38,31.78,1.92,29.6,40.24,20.83
2013-04-01,2013,4,Adjumani,3.38,31.78,4.56,26.42,35.94,19.95
2013-05-01,2013,5,Adjumani,3.38,31.78,5.0,25.05,33.51,19.47
2013-06-01,2013,6,Adjumani,3.38,31.78,4.39,24.51,32.54,18.53
2013-07-01,2013,7,Adjumani,3.38,31.78,4.99,23.11,29.02,17.82
2013-08-01,2013,8,Adjumani,3.38,31.78,5.65,23.03,30.09,17.68
