date,district,sub_county,market,commodity,price_local,price_usd,unit,price_type,price_flag,currency
2006-02-15,Lira,Lira Municipality,Lira,Maize,253.19,0.14,KG,Wholesale,actual,UGX
2006-03-15,Lira,Lira Municipality,Lira,Maize,282.2,0.16,KG,Wholesale,actual,UGX
2006-04-15,Lira,Lira Municipality,Lira,Maize,315.04,0.18,KG,Wholesale,actual,UGX
2006-05-15,Lira,Lira Municipality,Lira,Maize,347.26,0.2,KG,Wholesale,actual,UGX
2006-06-15,Lira,Lira Municipality,Lira,Maize,358.0,0.2,KG,Wholesale,actual,UGX
2006-10-15,Lira,Lira Municipality,Lira,Maize,248.0,0.14,KG,Wholesale,actual,UGX
2006-11-15,Lira,Lira Municipality,Lira,Maize,315.54,0.18,KG,Wholesale,actual,UGX
2006-12-15,Lira,Lira Municipality,Lira,Maize,349.73,0.2,KG,Wholesale,actual,UGX
2008-06-15,Lira,Lira Municipality,Lira,Beans,957.94,0.61,KG,Wholesale,actual,UGX
2008-07-15,Lira,Lira Municipality,Lira,Beans,1112.32,0.67,KG,Wholesale,actual,UGX
2008-07-15,Lira,Lira Municipality,Lira,Maize,556.16,0.34,KG,Wholesale,actual,UGX
2008-08-15,Lira,Lira Municipality,Lira,Beans,1057.79,0.66,KG,Wholesale,actual,UGX
2008-08-15,Lira,Lira Municipality,Lira,Maize,384.21,0.24,KG,Wholesale,actual,UGX
2009-01-15,Lira,Lira Municipality,Lira,Beans,725.9,0.37,KG,Wholesale,actual,UGX
2009-01-15,Lira,Lira Municipality,Lira,Maize,532.72,0.27,KG,Wholesale,actual,UGX
2009-02-15,Lira,Lira Municipality,Lira,Maize,534.67,0.27,KG,Wholesale,actual,UGX
2009-03-15,Lira,Lira Municipality,Lira,Maize,535.02,0.26,KG,Wholesale,actual,UGX
2009-12-15,Lira,Lira Municipality,Lira,Beans,1218.95,0.63,KG,Wholesale,actual,UGX
2010-01-15,Gulu,Gulu Municipality,Gulu,Cassava flour,2625.0,1.37,KG,Retail,actual,UGX
2010-01-15,Lira,Lira Municipality,Lira,Beans,1323.08,0.69,KG,Retail,actual,UGX
2010-01-15,Lira,Lira Municipality,Lira,Cassava flour,925.0,0.48,KG,Retail,actual,UGX
2010-01-15,Lira,Lira Municipality,Lira,Cassava flour,776.92,0.4,KG,Wholesale,actual,UGX
2010-01-15,Lira,Lira Municipality,Lira,Maize,700.0,0.36,KG,Retail,actual,UGX
2010-01-15,Lira,Lira Municipality,Lira,Maize flour,1725.0,0.9,KG,Retail,actual,UGX
2010-02-15,Gulu,Gulu Municipality,Gulu,Cassava flour,2275.0,1.13,KG,Retail,actual,UGX
2010-02-15,Gulu,Gulu Municipality,Gulu,Maize flour,1475.0,0.73,KG,Retail,actual,UGX
2010-02-15,Lira,Lira Municipality,Lira,Beans,1400.0,0.7,KG,Retail,actual,UGX
2010-02-15,Lira,Lira Municipality,Lira,Cassava flour,840.0,0.42,KG,Retail,actual,UGX
2010-02-15,Lira,Lira Municipality,Lira,Cassava flour,681.82,0.34,KG,Wholesale,actual,UGX
2010-02-15,Lira,Lira Municipality,Lira,Maize flour,1750.0,0.87,KG,Retail,actual,UGX
2010-03-15,Gulu,Gulu Municipality,Gulu,Cassava flour,1825.0,0.88,KG,Retail,actual,UGX
2010-03-15,Lira,Lira Municipality,Lira,Beans,1364.29,0.66,KG,Retail,actual,UGX
2010-03-15,Lira,Lira Municipality,Lira,Cassava flour,900.0,0.43,KG,Retail,actual,UGX
2010-03-15,Lira,Lira Municipality,Lira,Cassava flour,792.86,0.38,KG,Wholesale,actual,UGX
2010-03-15,Lira,Lira Municipality,Lira,Maize,521.43,0.25,KG,Retail,actual,UGX
2010-04-15,Gulu,Gulu Municipality,Gulu,Cassava flour,2100.0,1.02,KG,Retail,actual,UGX
2010-04-15,Gulu,Gulu Municipality,Gulu,Maize flour,1500.0,0.73,KG,Retail,actual,UGX
2010-04-15,Lira,Lira Municipality,Lira,Beans,1366.67,0.66,KG,Retail,actual,UGX
2010-04-15,Lira,Lira Municipality,Lira,Cassava flour,950.0,0.46,KG,Retail,actual,UGX
2010-04-15,Lira,Lira Municipality,Lira,Cassava flour,833.33,0.4,KG,Wholesale,actual,UGX
2010-04-15,Lira,Lira Municipality,Lira,Maize,483.33,0.23,KG,Retail,actual,UGX
2010-05-15,Gulu,Gulu Municipality,Gulu,Cassava flour,1975.0,0.92,KG,Retail,actual,UGX
2010-05-15,Gulu,Gulu Municipality,Gulu,Maize flour,1500.0,0.7,KG,Retail,actual,UGX
2010-05-15,Lira,Lira Municipality,Lira,Beans,1543.75,0.72,KG,Retail,actual,UGX
2010-05-15,Lira,Lira Municipality,Lira,Cassava flour,1000.0,0.47,KG,Retail,actual,UGX
2010-05-15,Lira,Lira Municipality,Lira,Cassava flour,800.0,0.37,KG,Wholesale,actual,UGX
2010-05-15,Lira,Lira Municipality,Lira,Maize,462.5,0.22,KG,Retail,actual,UGX
2010-06-15,Gulu,Gulu Municipality,Gulu,Cassava flour,1700.0,0.76,KG,Retail,actual,UGX
2010-06-15,Lira,Lira Municipality,Lira,Beans,1523.08,0.68,KG,Retail,actual,UGX
2010-06-15,Lira,Lira Municipality,Lira,Cassava flour,800.0,0.36,KG,Wholesale,actual,UGX
2010-06-15,Lira,Lira Municipality,Lira,Maize,369.23,0.17,KG,Retail,actual,UGX
2010-06-15,Lira,Lira Municipality,Lira,Maize flour,1450.0,0.65,KG,Retail,actual,UGX
2010-07-15,Gulu,Gulu Municipality,Gulu,Cassava flour,1700.0,0.76,KG,Retail,actual,UGX
2010-07-15,Lira,Lira Municipality,Lira,Beans,1269.23,0.56,KG,Retail,actual,UGX
2010-07-15,Lira,Lira Municipality,Lira,Cassava flour,1800.0,0.8,KG,Retail,actual,UGX
2010-07-15,Lira,Lira Municipality,Lira,Cassava flour,276.92,0.12,KG,Wholesale,actual,UGX
