date,year,month,event_category,event_count,fatalities,geographic_level,country,source
1997-01-01,1997,1,civilian_targeting,1,0.0,national,Uganda,ACLED via HDX
1997-01-01,1997,1,demonstrations,0,,national,Uganda,ACLED via HDX
1997-01-01,1997,1,political_violence,5,16.0,national,Uganda,ACLED via HDX
1997-02-01,1997,2,civilian_targeting,5,27.0,national,Uganda,ACLED via HDX
1997-02-01,1997,2,demonstrations,0,,national,Uganda,ACLED via HDX
1997-02-01,1997,2,political_violence,5,27.0,national,Uganda,ACLED via HDX
1997-03-01,1997,3,civilian_targeting,2,9.0,national,Uganda,ACLED via HDX
1997-03-01,1997,3,demonstrations,1,,national,Uganda,ACLED via HDX
1997-03-01,1997,3,political_violence,3,11.0,national,Uganda,ACLED via HDX
1997-04-01,1997,4,civilian_targeting,0,0.0,national,Uganda,ACLED via HDX
1997-04-01,1997,4,demonstrations,0,,national,Uganda,ACLED via HDX
1997-04-01,1997,4,political_violence,5,188.0,national,Uganda,ACLED via HDX
1997-05-01,1997,5,civilian_targeting,2,152.0,national,Uganda,ACLED via HDX
1997-05-01,1997,5,demonstrations,0,,national,Uganda,ACLED via HDX
1997-05-01,1997,5,political_violence,2,152.0,national,Uganda,ACLED via HDX
1997-06-01,1997,6,civilian_targeting,1,40.0,national,Uganda,ACLED via HDX
1997-06-01,1997,6,demonstrations,0,,national,Uganda,ACLED via HDX
1997-06-01,1997,6,political_violence,12,245.0,national,Uganda,ACLED via HDX
1997-07-01,1997,7,civilian_targeting,5,18.0,national,Uganda,ACLED via HDX
1997-07-01,1997,7,demonstrations,0,,national,Uganda,ACLED via HDX
1997-07-01,1997,7,political_violence,24,130.0,national,Uganda,ACLED via HDX
1997-08-01,1997,8,civilian_targeting,4,15.0,national,Uganda,ACLED via HDX
1997-08-01,1997,8,demonstrations,0,,national,Uganda,ACLED via HDX
1997-08-01,1997,8,political_violence,8,28.0,national,Uganda,ACLED via HDX
1997-09-01,1997,9,civilian_targeting,4,40.0,national,Uganda,ACLED via HDX
1997-09-01,1997,9,demonstrations,0,,national,Uganda,ACLED via HDX
1997-09-01,1997,9,political_violence,13,78.0,national,Uganda,ACLED via HDX
1997-10-01,1997,10,civilian_targeting,4,41.0,national,Uganda,ACLED via HDX
1997-10-01,1997,10,demonstrations,0,,national,Uganda,ACLED via HDX
1997-10-01,1997,10,political_violence,5,42.0,national,Uganda,ACLED via HDX
1997-11-01,1997,11,civilian_targeting,3,8.0,national,Uganda,ACLED via HDX
1997-11-01,1997,11,demonstrations,0,,national,Uganda,ACLED via HDX
1997-11-01,1997,11,political_violence,3,8.0,national,Uganda,ACLED via HDX
1997-12-01,1997,12,civilian_targeting,2,0.0,national,Uganda,ACLED via HDX
1997-12-01,1997,12,demonstrations,0,,national,Uganda,ACLED via HDX
1997-12-01,1997,12,political_violence,4,7.0,national,Uganda,ACLED via HDX
1998-01-01,1998,1,civilian_targeting,3,3.0,national,Uganda,ACLED via HDX
1998-01-01,1998,1,demonstrations,0,,national,Uganda,ACLED via HDX
1998-01-01,1998,1,political_violence,9,21.0,national,Uganda,ACLED via HDX
1998-02-01,1998,2,civilian_targeting,6,14.0,national,Uganda,ACLED via HDX
1998-02-01,1998,2,demonstrations,1,,national,Uganda,ACLED via HDX
1998-02-01,1998,2,political_violence,8,14.0,national,Uganda,ACLED via HDX
1998-03-01,1998,3,civilian_targeting,1,7.0,national,Uganda,ACLED via HDX
1998-03-01,1998,3,demonstrations,1,,national,Uganda,ACLED via HDX
1998-03-01,1998,3,political_violence,4,14.0,national,Uganda,ACLED via HDX
1998-04-01,1998,4,civilian_targeting,19,84.0,national,Uganda,ACLED via HDX
1998-04-01,1998,4,demonstrations,0,,national,Uganda,ACLED via HDX
1998-04-01,1998,4,political_violence,46,186.0,national,Uganda,ACLED via HDX
1998-05-01,1998,5,civilian_targeting,8,2.0,national,Uganda,ACLED via HDX
1998-05-01,1998,5,demonstrations,0,,national,Uganda,ACLED via HDX
1998-05-01,1998,5,political_violence,29,264.0,national,Uganda,ACLED via HDX
1998-06-01,1998,6,civilian_targeting,19,126.0,national,Uganda,ACLED via HDX
1998-06-01,1998,6,demonstrations,1,,national,Uganda,ACLED via HDX
1998-06-01,1998,6,political_violence,27,183.0,national,Uganda,ACLED via HDX
1998-07-01,1998,7,civilian_targeting,5,5.0,national,Uganda,ACLED via HDX
1998-07-01,1998,7,demonstrations,0,,national,Uganda,ACLED via HDX
1998-07-01,1998,7,political_violence,23,130.0,national,Uganda,ACLED via HDX
1998-08-01,1998,8,civilian_targeting,14,57.0,national,Uganda,ACLED via HDX
1998-08-01,1998,8,demonstrations,0,,national,Uganda,ACLED via HDX
1998-08-01,1998,8,political_violence,23,115.0,national,Uganda,ACLED via HDX
1998-09-01,1998,9,civilian_targeting,11,24.0,national,Uganda,ACLED via HDX
1998-09-01,1998,9,demonstrations,0,,national,Uganda,ACLED via HDX
1998-09-01,1998,9,political_violence,24,72.0,national,Uganda,ACLED via HDX
1998-10-01,1998,10,civilian_targeting,8,7.0,national,Uganda,ACLED via HDX
1998-10-01,1998,10,demonstrations,0,,national,Uganda,ACLED via HDX
1998-10-01,1998,10,political_violence,14,15.0,national,Uganda,ACLED via HDX
1998-11-01,1998,11,civilian_targeting,18,25.0,national,Uganda,ACLED via HDX
1998-11-01,1998,11,demonstrations,0,,national,Uganda,ACLED via HDX
1998-11-01,1998,11,political_violence,43,72.0,national,Uganda,ACLED via HDX
1998-12-01,1998,12,civilian_targeting,18,18.0,national,Uganda,ACLED via HDX
1998-12-01,1998,12,demonstrations,0,,national,Uganda,ACLED via HDX
1998-12-01,1998,12,political_violence,28,75.0,national,Uganda,ACLED via HDX
1999-01-01,1999,1,civilian_targeting,10,33.0,national,Uganda,ACLED via HDX
1999-01-01,1999,1,demonstrations,1,,national,Uganda,ACLED via HDX
1999-01-01,1999,1,political_violence,29,97.0,national,Uganda,ACLED via HDX
1999-02-01,1999,2,civilian_targeting,18,60.0,national,Uganda,ACLED via HDX
1999-02-01,1999,2,demonstrations,0,,national,Uganda,ACLED via HDX
1999-02-01,1999,2,political_violence,25,112.0,national,Uganda,ACLED via HDX
1999-03-01,1999,3,civilian_targeting,11,36.0,national,Uganda,ACLED via HDX
1999-03-01,1999,3,demonstrations,0,,national,Uganda,ACLED via HDX
1999-03-01,1999,3,political_violence,18,96.0,national,Uganda,ACLED via HDX
1999-04-01,1999,4,civilian_targeting,26,94.0,national,Uganda,ACLED via HDX
1999-04-01,1999,4,demonstrations,0,,national,Uganda,ACLED via HDX
1999-04-01,1999,4,political_violence,28,106.0,national,Uganda,ACLED via HDX
1999-05-01,1999,5,civilian_targeting,10,17.0,national,Uganda,ACLED via HDX
1999-05-01,1999,5,demonstrations,1,,national,Uganda,ACLED via HDX
1999-05-01,1999,5,political_violence,22,89.0,national,Uganda,ACLED via HDX
1999-06-01,1999,6,civilian_targeting,3,3.0,national,Uganda,ACLED via HDX
1999-06-01,1999,6,demonstrations,1,,national,Uganda,ACLED via HDX
1999-06-01,1999,6,political_violence,3,3.0,national,Uganda,ACLED via HDX
1999-07-01,1999,7,civilian_targeting,11,188.0,national,Uganda,ACLED via HDX
1999-07-01,1999,7,demonstrations,0,,national,Uganda,ACLED via HDX
1999-07-01,1999,7,political_violence,16,219.0,national,Uganda,ACLED via HDX
1999-08-01,1999,8,civilian_targeting,3,6.0,national,Uganda,ACLED via HDX
1999-08-01,1999,8,demonstrations,0,,national,Uganda,ACLED via HDX
1999-08-01,1999,8,political_violence,6,28.0,national,Uganda,ACLED via HDX
1999-09-01,1999,9,civilian_targeting,8,16.0,national,Uganda,ACLED via HDX
1999-09-01,1999,9,demonstrations,0,,national,Uganda,ACLED via HDX
1999-09-01,1999,9,political_violence,25,287.0,national,Uganda,ACLED via HDX
1999-10-01,1999,10,civilian_targeting,3,2.0,national,Uganda,ACLED via HDX
1999-10-01,1999,10,demonstrations,0,,national,Uganda,ACLED via HDX
1999-10-01,1999,10,political_violence,3,2.0,national,Uganda,ACLED via HDX
1999-11-01,1999,11,civilian_targeting,4,12.0,national,Uganda,ACLED via HDX
1999-11-01,1999,11,demonstrations,0,,national,Uganda,ACLED via HDX
1999-11-01,1999,11,political_violence,10,37.0,national,Uganda,ACLED via HDX
1999-12-01,1999,12,civilian_targeting,17,132.0,national,Uganda,ACLED via HDX
1999-12-01,1999,12,demonstrations,0,,national,Uganda,ACLED via HDX
1999-12-01,1999,12,political_violence,48,211.0,national,Uganda,ACLED via HDX
2000-01-01,2000,1,civilian_targeting,21,141.0,national,Uganda,ACLED via HDX
