year,commodity,area_harvested_ha,production_tonnes,yield_kg_per_ha,source
1961,Beans (dry),140000.0,100000.0,714.3,FAOSTAT
1961,Cassava,317000.0,1120000.0,3533.1,FAOSTAT
1961,Groundnuts,240000.0,120000.0,500.0,FAOSTAT
1961,Maize,178464.0,196000.0,1098.3,FAOSTAT
1961,Rice,2630.0,3200.0,1216.7,FAOSTAT
1962,Beans (dry),140000.0,100000.0,714.3,FAOSTAT
1962,Cassava,264000.0,1055000.0,3996.2,FAOSTAT
1962,Groundnuts,240000.0,128000.0,533.3,FAOSTAT
1962,Maize,170896.0,190000.0,1111.8,FAOSTAT
1962,Rice,3197.0,4000.0,1251.2,FAOSTAT
1963,Beans (dry),140000.0,110000.0,785.7,FAOSTAT
1963,Cassava,286000.0,1140000.0,3986.0,FAOSTAT
1963,Groundnuts,250000.0,131000.0,524.0,FAOSTAT
1963,Maize,159606.0,200000.0,1253.1,FAOSTAT
1963,Rice,1376.0,1650.0,1199.1,FAOSTAT
1964,Beans (dry),150000.0,120000.0,800.0,FAOSTAT
1964,Cassava,240000.0,985000.0,4104.2,FAOSTAT
1964,Groundnuts,250000.0,128000.0,512.0,FAOSTAT
1964,Maize,193000.0,220000.0,1139.9,FAOSTAT
1964,Rice,1983.0,2300.0,1159.9,FAOSTAT
1965,Beans (dry),150000.0,130000.0,866.7,FAOSTAT
1965,Cassava,359000.0,1300000.0,3621.2,FAOSTAT
1965,Groundnuts,260000.0,130000.0,500.0,FAOSTAT
1965,Maize,284000.0,270000.0,950.7,FAOSTAT
1965,Rice,4000.0,4750.0,1187.5,FAOSTAT
1966,Beans (dry),163000.0,140000.0,858.9,FAOSTAT
1966,Cassava,217000.0,900000.0,4147.5,FAOSTAT
1966,Groundnuts,280000.0,150000.0,535.7,FAOSTAT
1966,Maize,306000.0,273000.0,892.2,FAOSTAT
1966,Rice,3000.0,6198.0,2066.0,FAOSTAT
1967,Beans (dry),219000.0,156000.0,712.3,FAOSTAT
1967,Cassava,253000.0,1063000.0,4201.6,FAOSTAT
1967,Groundnuts,277000.0,163000.0,588.4,FAOSTAT
1967,Maize,275000.0,230000.0,836.4,FAOSTAT
1967,Rice,6000.0,7824.0,1304.0,FAOSTAT
1968,Beans (dry),270000.0,170000.0,629.6,FAOSTAT
1968,Cassava,227000.0,930000.0,4096.9,FAOSTAT
1968,Groundnuts,251000.0,176000.0,701.2,FAOSTAT
1968,Maize,275000.0,341884.0,1243.2,FAOSTAT
1968,Rice,5000.0,2868.0,573.6,FAOSTAT
1969,Beans (dry),240000.0,116000.0,483.3,FAOSTAT
1969,Cassava,300000.0,1400000.0,4666.7,FAOSTAT
1969,Groundnuts,245000.0,210000.0,857.1,FAOSTAT
1969,Maize,350000.0,446011.0,1274.3,FAOSTAT
1969,Rice,7000.0,4767.0,681.0,FAOSTAT
1970,Beans (dry),270000.0,169000.0,625.9,FAOSTAT
1970,Cassava,539000.0,2578000.0,4782.9,FAOSTAT
1970,Groundnuts,250000.0,244000.0,976.0,FAOSTAT
